Time,CoM_x,CoM_y,CoM_z
1729153028.616442,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153028.696067,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153028.775701,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153028.855689,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153028.935964,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.01586,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.096295,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.176811,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.256994,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.336035,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.416587,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.498875,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.576989,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.656958,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.736037,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.817034,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.895905,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153029.976175,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153030.057027,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153030.135886,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153030.215623,0.08527786805329853,1.0018524536886577,25.999090022749428
1729153030.296645,0.08527786805329853,1.0018524536886577,25.999090022749428
