Time,Joint States
1730103295.4182124,"(0.0, -0.5368932751464844, 0.5555723201270152, -0.03067961572265625, -0.7900001048583984, -0.49240783234863283, -0.05062136594238282, -0.003067961572265625, 0.9285117504885199, -0.09203884716796876, 0.804198607034685, -0.5599029869384766, 0.03683352398632145, 0.7688998132144602, 0.4819052721543723, 0.039902984318514904, -0.0015339807861328126, -0.949534106616211, 0.08594488930141672, -0.8237476821533204)"
1730103295.4262118,"(0.0, -0.5368932751464844, 0.5555723201270152, -0.02914563493652344, -0.7900001048583984, -0.49394181313476565, -0.05215534672851563, -0.0015339807861328126, 0.9285117504885199, -0.09357282795410157, 0.8026638768685882, -0.5599029869384766, 0.03529879382022472, 0.7688998132144602, 0.4819052721543723, 0.039902984318514904, 0.0, -0.949534106616211, 0.08594488930141672, -0.8237476821533204)"
1730103295.43421,"(0.0, -0.5368932751464844, 0.5555723201270152, -0.03067961572265625, -0.7900001048583984, -0.49240783234863283, -0.05062136594238282, -0.003067961572265625, 0.9285117504885199, -0.09203884716796876, 0.8026638768685882, -0.5599029869384766, 0.03529879382022472, 0.7688998132144602, 0.4819052721543723, 0.039902984318514904, -0.0015339807861328126, -0.949534106616211, 0.08594488930141672, -0.8222137013671875)"
1730103295.4422128,"(0.0, -0.5368932751464844, 0.5555723201270152, -0.03067961572265625, -0.7900001048583984, -0.49240783234863283, -0.05062136594238282, -0.0015339807861328126, 0.9285117504885199, -0.09203884716796876, 0.8026638768685882, -0.5599029869384766, 0.03529879382022472, 0.7688998132144602, 0.4819052721543723, 0.039902984318514904, -0.0015339807861328126, -0.949534106616211, 0.08594488930141672, -0.8237476821533204)"
1730103295.4502158,"(0.0, -0.5368932751464844, 0.5555723201270152, -0.03067961572265625, -0.7900001048583984, -0.49240783234863283, -0.05215534672851563, -0.003067961572265625, 0.9285117504885199, -0.09203884716796876, 0.8026638768685882, -0.5599029869384766, 0.03529879382022472, 0.7688998132144602, 0.4819052721543723, 0.039902984318514904, -0.0015339807861328126, -0.949534106616211, 0.08594488930141672, -0.8237476821533204)"
1730103295.4582145,"(0.0, -0.5368932751464844, 0.5555723201270152, -0.03067961572265625, -0.7900001048583984, -0.49394181313476565, -0.05062136594238282, -0.003067961572265625, 0.9285117504885199, -0.09203884716796876, 0.8026638768685882, -0.5599029869384766, 0.03529879382022472, 0.7688998132144602, 0.4819052721543723, 0.039902984318514904, 0.0, -0.949534106616211, 0.08594488930141672, -0.8237476821533204)"
1730103295.4662127,"(0.0, -0.5384272559326172, 0.5555723201270152, -0.02914563493652344, -0.7900001048583984, -0.49240783234863283, -0.05062136594238282, -0.0015339807861328126, 0.9285117504885199, -0.09203884716796876, 0.8026638768685882, -0.5599029869384766, 0.03529879382022472, 0.7688998132144602, 0.4819052721543723, 0.039902984318514904, 0.0, -0.949534106616211, 0.08594488930141672, -0.8222137013671875)"
1730103295.474212,"(0.0, -0.5368932751464844, 0.5555723201270152, -0.02914563493652344, -0.7900001048583984, -0.49240783234863283, -0.05062136594238282, -0.003067961572265625, 0.9285117504885199, -0.09203884716796876, 0.8026638768685882, -0.5599029869384766, 0.03529879382022472, 0.7688998132144602, 0.4819052721543723, 0.039902984318514904, -0.0015339807861328126, -0.949534106616211, 0.08594488930141672, -0.8237476821533204)"
1730103295.4822142,"(0.0, -0.5368932751464844, 0.5555723201270152, -0.03067961572265625, -0.7900001048583984, -0.49394181313476565, -0.05062136594238282, -0.003067961572265625, 0.9285117504885199, -0.09203884716796876, 0.804198607034685, -0.5599029869384766, 0.03529879382022472, 0.7688998132144602, 0.4819052721543723, 0.039902984318514904, -0.0015339807861328126, -0.949534106616211, 0.08594488930141672, -0.8222137013671875)"
1730103295.4902105,"(0.0, -0.5384272559326172, 0.5555723201270152, -0.03067961572265625, -0.7900001048583984, -0.49394181313476565, -0.05062136594238282, -0.003067961572265625, 0.9269770203224231, -0.09203884716796876, 0.8026638768685882, -0.5599029869384766, 0.03529879382022472, 0.7688998132144602, 0.4819052721543723, 0.039902984318514904, 0.0, -0.949534106616211, 0.08594488930141672, -0.8237476821533204)"
1730103295.4982107,"(0.0, -0.5384272559326172, 0.5555723201270152, -0.03067961572265625, -0.7900001048583984, -0.49240783234863283, -0.05062136594238282, -0.003067961572265625, 0.9285117504885199, -0.09203884716796876, 0.8026638768685882, -0.5599029869384766, 0.03683352398632145, 0.7688998132144602, 0.4819052721543723, 0.039902984318514904, 0.0, -0.949534106616211, 0.08594488930141672, -0.8222137013671875)"
